Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,RSI_Oversold,RSI_Overbought,MACD,MACD_Signal,MACD_Histogram,MACD_Bullish_Crossover,MACD_Bearish_Crossover,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,Price_to_BB_Middle,MA_5,MA_10,MA_20,MA_50,MA_200,Price_Change,Price_Change_5d,Price_Change_10d,Volatility_10d,Volatility_20d,Volume_MA_20,Volume_Ratio,High_Low_Ratio,Close_to_High,Close_to_Low,Support_20d,Resistance_20d,Price_vs_Support,Price_vs_Resistance,Trend_5d,Trend_20d
2015-01-02 00:00:00-05:00,77.53475243146994,78.12118912142564,77.33145270860007,77.93352508544922,1462700,0.0,0.0,,0,0,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,1.010212357134961,0.9975977831611762,1.0077856079998635,,,,,0,0
2015-01-05 00:00:00-05:00,77.94133889401996,77.94133889401996,76.58862242614539,76.80756378173828,2124700,0.0,0.0,,0,0,-0.025261952326857795,-0.014034417959365442,-0.011227534367492353,0,1,,,,,,,,,,,,-0.014447714285686364,,,,,,,1.017662107308158,0.9854534817034215,1.0028586668444652,,,,,0,0
2015-01-06 00:00:00-05:00,76.86231216533004,77.34709605911236,76.57300122202473,76.60427856445312,2329500,0.0,0.0,,0,0,-0.03849260385351272,-0.02405826463729465,-0.014434339216218069,0,0,,,,,,,,,,,,-0.002646682270288192,,,,,,,1.010109239872199,0.9903963104950761,1.0004084643664117,,,,,0,0
2015-01-07 00:00:00-05:00,77.0655927090821,77.67548586784702,76.66682008406937,77.40963745117188,1854900,0.0,0.0,,0,0,-0.014489631684043047,-0.0208168578103124,0.006327226126269354,1,0,,,,,,,,,,,,0.010513236359782852,,,,,,,1.013156483895792,0.9965774476502478,1.009688902791168,,,,,0,0
2015-01-08 00:00:00-05:00,77.85531335683446,78.347917893634,77.66765533789284,78.12898254394531,2214800,0.0,0.0,,0,0,0.02748266434336699,-0.006448841938799021,0.03393150628216601,0,0,,,,,,,77.37679748535156,,,,,0.009292707167465775,,,,,,,1.0087586338583505,0.9972056009199132,1.0059397596598671,,,,,1,0
2015-01-09 00:00:00-05:00,78.2228445942529,78.39486699669308,77.39401589036095,77.73023986816406,1323700,0.0,0.0,,0,0,0.03514665336322764,0.004825849952851019,0.030320803410376622,0,0,,,,,,,77.33614044189453,,,,,-0.005103646083666424,-0.0026084437610420785,,,,,,1.012931892664027,0.9915220580888663,1.0043443149180864,,,,,1,0
2015-01-12 00:00:00-05:00,77.91790985882271,78.05865493999168,77.37056522514605,77.39402770996094,1489000,0.0,0.0,,0,0,0.02422527798590579,0.00973532765837054,0.01448995032753525,0,0,,,,,,,77.45343322753907,,,,,-0.004325371422671087,0.007635497070173969,,,,,,1.0088934301157464,0.9914855408341114,1.0003032482022927,,,,,-1,0
2015-01-13 00:00:00-05:00,77.83970099628445,77.97262521763017,76.04911354192556,76.53389739990234,2068800,0.0,0.0,,0,0,-0.024394982650733255,0.0015331722704652797,-0.025928154921198536,0,1,,,,,,,77.43935699462891,,,,,-0.011113652248232686,-0.0009187628402709258,,,,,,1.025293019025714,0.9815482957805746,1.0063746155004099,,,,,-1,0
2015-01-14 00:00:00-05:00,76.14294410235637,76.58082092438026,75.85363912884279,76.04911804199219,2365500,0.0,0.0,,0,0,-0.08174408739186845,-0.017704287852149406,-0.06403979953971904,0,0,,,,,,,77.16725311279296,,,,,-0.006334178375590915,-0.01757558172311391,,,,,,1.0095866434872334,0.9930569707144677,1.0025770538552194,,,,,-1,0
2015-01-15 00:00:00-05:00,76.34622718807633,76.91702811479591,75.22026698498111,75.28282165527344,3059400,0.0,0.0,,0,0,-0.16070814416576695,-0.04974545302886624,-0.11096269113690072,0,0,,,,,,,76.5980209350586,76.98740921020507,,,,-0.010076334958883049,-0.036429002349684936,,,,,,1.0225572335465598,0.9787536453295689,1.0008316198918148,,,,,-1,0
2015-01-16 00:00:00-05:00,75.25935477969594,76.27584715254714,74.96222908504355,76.1741943359375,2435100,0.0,0.0,,0,0,-0.1680266359647078,-0.07562470000411013,-0.09240193596059766,0,0,,,,,,,76.28681182861328,76.81147613525391,,,,0.011840319757749462,-0.020018535062618192,-0.022574761600770987,0.00950180593571931,,,,1.017523732732298,0.9986673000641167,1.016167678918926,,,,,-1,0
2015-01-20 00:00:00-05:00,76.62774813932863,76.62774813932863,75.17338427903255,75.94747924804688,2011300,0.0,0.0,,0,0,-0.18355989585367638,-0.09880465344526433,-0.08475524240841205,0,0,,,,,,,75.99750213623047,76.72546768188477,,,,-0.0029762715558340203,-0.018690698813803808,-0.011197914519662233,0.008504353606391553,,,,1.0193467924085697,0.9911224209532445,1.010297460682906,,,,,-1,0
2015-01-21 00:00:00-05:00,75.69724261394921,76.32277744121907,75.4939488657974,75.65032958984375,1907700,0.0,0.0,,0,0,-0.20943022513972664,-0.12221686788455613,-0.08721335725517051,0,0,,,,,,,75.82078857421875,76.63007278442383,,,,-0.003912567752678453,-0.011544790479462996,-0.012452946395242748,0.008539399481009161,,,,1.010978741844529,0.9911894211149062,1.002071433888355,,,,,-1,0
2015-01-22 00:00:00-05:00,76.05694830618134,77.3549314158181,75.84583366206454,77.27674102783203,4187100,0.0,0.0,46.24341071740269,0,0,-0.13181387031835357,-0.12422456795418119,-0.007589302364172379,0,0,,,,,,,76.06631317138672,76.61678314208984,,,,0.021499066121803523,0.016142501286628752,-0.0017167942870637276,0.010659899196673598,,,,1.019896910362637,0.9989891996986493,1.0188659982582957,,,,,1,0
2015-01-23 00:00:00-05:00,77.5191189466055,78.47305701726242,77.2845418596907,77.87879943847656,2589800,0.0,0.0,49.70715588060223,0,0,-0.03587053887378033,-0.10590935279298239,0.07003881391920205,1,0,,,,,,,76.58550872802735,76.59176483154297,,,,0.007790939455219803,0.03448300324196585,-0.00320218051384491,0.010522232820984922,,,,1.0153784331118823,0.992427240617692,1.007689216555941,,,,,1,0
2015-01-26 00:00:00-05:00,78.36360555692525,79.66158273462713,77.74589133441529,79.56775665283203,3049500,0.0,0.0,63.93077891053257,0,0,0.1398162195179964,-0.0553408618497322,0.19515708136772858,0,0,,,,,,,77.26422119140625,76.77551651000977,,,,0.021686996031438976,0.04455002572037059,0.023639664405828764,0.01239843545678332,,,,1.0246404198000858,0.9988221915938118,1.023433589700325,,,,,1,0
2015-01-27 00:00:00-05:00,78.84056583213486,79.25498022161509,78.23848736906292,78.49652099609375,2019300,0.0,0.0,58.78089883662472,0,0,0.20577381755796864,-0.0019148798040273442,0.207688697361996,0,0,,,,,,,77.77402954101562,76.88576583862304,,,,-0.013463187876620264,0.03356321728232259,0.014245198483072485,0.013256844072843922,,,,1.0129922354934753,0.9904301379749195,1.003298039567325,,,,,1,0
2015-01-28 00:00:00-05:00,78.73893613720227,79.34883560752826,77.26893625476855,77.31584930419922,2129800,0.0,0.0,49.57942828521831,0,0,0.179319362806325,0.034996912453468865,0.14432245035285612,0,0,,,,,,,78.10713348388671,76.96396102905274,,,,-0.01504107031639379,0.02201602720550566,0.010217066304764932,0.013721877557504494,,,,1.026917665152034,0.9743791287198654,1.0006071398378773,,,,,-1,0
2015-01-29 00:00:00-05:00,77.19855183133438,77.48003603931984,76.34626048216253,76.9561538696289,1957700,0.0,0.0,44.56542105304093,0,0,0.1337337295497747,0.05503302671017143,0.07870070283960326,0,0,,,,,,,78.04301605224609,77.0546646118164,,,,-0.004652285887141838,-0.004148559501074955,0.011926973658469953,0.013630617537057244,,,,1.0148504399560239,0.9932384883065223,1.00798851683913,,,,,-1,0
2015-01-30 00:00:00-05:00,76.35407680084379,76.94833446158911,75.7363626212805,75.80673217773438,1990700,0.0,0.0,41.6667107375079,0,0,0.02206062118312957,0.04836162963320499,-0.026301008450075422,0,1,79.2013120514335,77.04723243713379,74.89315282283407,5.591582062489593,0.2120579362145135,0.9838994832110084,77.62860260009765,77.1070556640625,77.04723243713379,,,-0.014936059484492503,-0.02660630718093049,0.006959230684258522,0.01415656381376748,,2228550.0,0.8932714096609903,1.0160025092090714,0.9851640416671449,1.0009291383163692,74.96222908504355,79.66158273462713,1.0112657147872797,0.951609666484606,-1,-1
2015-02-02 00:00:00-05:00,75.80672692699282,76.67465385640405,74.80587575645751,76.51045227050781,1918300,0.0,0.0,46.29018390836999,0,0,-0.017927855314724184,0.03498031177062921,-0.0529081670853534,0,0,79.10070342723412,76.97607879638672,74.85145416553931,5.520220473862687,0.3904214610151657,0.9939510230559996,77.01714172363282,77.14068145751953,76.97607879638672,,,0.00928308176012016,-0.038423910776619885,0.004414328730375283,0.01395632401755386,0.01170667525654791,2251330.0,0.8520741073054594,1.0249817020527991,0.997858463290832,1.0227866661116276,74.80587575645751,79.66158273462713,1.0227866661116276,0.9604435368223033,-1,-1
2015-02-03 00:00:00-05:00,76.42441863423278,77.53474316837715,76.33059259299648,77.4800033569336,1669300,0.0,0.0,53.93619209409685,0,0,0.01636013792358426,0.03122859421176212,-0.014868456288177859,0,0,79.14435595785041,77.00970077514648,74.87504559244256,5.5438604778811085,0.6101589112840667,1.0061070563455414,76.81383819580078,77.2939338684082,77.00970077514648,,,0.012672139003934602,-0.012949843206563783,0.020178735674444725,0.014390305352597117,0.011619827537791198,2228560.0,0.7490487130703234,1.0157754647838428,0.9992939963530326,1.0150583236012054,74.80587575645751,79.66158273462713,1.0357475609159652,0.9726144108263461,1,1
2015-02-04 00:00:00-05:00,77.3158245103747,77.65986933732503,76.36189233976943,76.51045227050781,1697200,0.0,0.0,51.84492252716675,0,0,-0.023111185759418618,0.020296104186941576,-0.04340728994636019,0,0,79.1438245426237,77.00500946044922,74.86619437827473,5.555002452854739,0.3843852388027399,0.99357759717963,76.6527587890625,77.37994613647462,77.00500946044922,,,-0.01251356536420456,-0.010416971952575627,0.011369714915023144,0.015031855478766992,0.01196479082059061,2196945.0,0.7725273049621179,1.0169977060256745,0.9851993432821192,1.0019454720959162,74.80587575645751,79.66158273462713,1.0227866661116276,0.9604435368223033,-1,-1
2015-02-05 00:00:00-05:00,76.85449250961183,78.39486734581286,76.76066048089663,77.87097930908203,1900600,0.0,0.0,59.88069821833741,0,0,0.04003711818985778,0.024263040313729646,0.015774077876128133,1,0,79.19503199417692,77.02807655334473,74.86112111251255,5.626404131567502,0.6944900988396874,1.010942798956606,76.83572387695312,77.4393699645996,77.02807655334473,,,0.01778223756623465,0.011887619033078556,0.007689743037118779,0.01451202384612838,0.012403122213978124,2199230.0,0.8642115649568258,1.0212896404835252,0.9933173171348085,1.0144646857026682,74.80587575645751,79.66158273462713,1.0409741015880016,0.977522371963032,1,1
2015-02-06 00:00:00-05:00,77.30798983648002,77.36272368441868,74.5087308349491,74.85277557373047,5384300,0.0,0.0,45.66004300842478,0,0,-0.12110930862891678,-0.004921686254445448,-0.11618762237447133,0,1,79.17159180129087,76.86426620483398,74.55694060837709,6.003636567109475,0.0641077630759309,0.9738306142708352,76.64493255615234,77.136767578125,76.86426620483398,,,-0.038759031440606884,-0.012584061818774694,-0.03885555358537107,0.01885740396935055,0.01497177327770124,2357705.0,2.283703856080383,1.0383041398972652,0.967556104656722,1.0046175090479461,74.5087308349491,79.66158273462713,1.0046175090479461,0.9396345516142202,-1,-1
2015-02-09 00:00:00-05:00,74.79021367372512,76.3384029175658,74.7432946903526,75.61122131347656,2811500,0.0,0.0,48.9328939072731,0,0,-0.19187892071599322,-0.042426484443981914,-0.1494524362720113,0,0,79.09265924312787,76.75831527709961,74.42397131107136,6.082322045764584,0.2543005700280838,0.9850557694045002,76.4650863647461,76.74111404418946,76.75831527709961,,,0.010132499883040769,-0.011753047202648359,-0.049725359942200176,0.0174219817674065,0.015193277435636164,2432095.0,1.1559992516739683,1.0213411548664189,0.9904742360817466,1.0116121001451652,74.5087308349491,79.66158273462713,1.014796795840875,0.9491553985985522,-1,-1
2015-02-10 00:00:00-05:00,75.97874705863991,76.19768249992639,74.38363831642546,75.35321807861328,2965400,0.0,0.0,49.05477558838964,0,0,-0.26306409674798203,-0.08666095930232862,-0.17640313744565342,0,0,79.05124500578798,76.65627479553223,74.26130458527648,6.248595347592696,0.22795972339468118,0.9830013039324618,76.03972930908203,76.42678375244141,76.65627479553223,,,-0.0034122347236480444,-0.02744947323405078,-0.04004385006613087,0.01716426411166728,0.015184984927614203,2505915.0,1.1833601698381628,1.0243876775129503,0.9889174526887492,1.0130348526118507,74.38363831642546,79.66158273462713,1.0130348526118507,0.9459166575893163,-1,-1
2015-02-11 00:00:00-05:00,75.5252510297679,75.60344738921391,74.10216438480259,75.03264617919922,2444900,0.0,0.0,42.213743125366626,0,0,-0.3384255852727449,-0.13711146997635837,-0.20131411529638654,0,0,79.08400843321438,76.58121223449707,74.07841603577977,6.536319093653329,0.1906328097965984,0.9797787732772363,75.74416809082031,76.1984634399414,76.58121223449707,,,-0.004254256255912248,-0.019315087644283024,-0.029530854870606582,0.01672268143361432,0.015026524145728139,2524720.0,0.9683846129471783,1.0202596377160504,0.9924500637242618,1.0125567424665864,74.10216438480259,79.66158273462713,1.0125567424665864,0.9418924857311953,-1,-1
2015-02-12 00:00:00-05:00,75.2828506630527,75.65035203569765,74.85280056155601,75.04045867919922,2101100,0.0,0.0,39.72833982812231,0,0,-0.39272624481164087,-0.18831365648939416,-0.2044125883222467,0,0,79.11794900470893,76.53077926635743,73.94360952800592,6.761122160659387,0.21197858318569152,0.9805265201603226,75.17806396484374,76.00689392089843,76.53077926635743,,,0.00010412134447901344,-0.03634885107387742,-0.024893333334655154,0.016733860315361206,0.014972445138152846,2511500.0,0.8365916782799124,1.0106549316546383,0.9919379971132105,1.0025070286780906,74.10216438480259,79.66158273462713,1.0126621712359736,0.9419905568431644,-1,-1
2015-02-13 00:00:00-05:00,75.02479002342223,75.71287948306241,74.67293043377302,75.37665557861328,1748900,0.0,0.0,33.18664569088472,0,0,-0.4061405971387586,-0.23193304280407503,-0.17420755433468357,0,0,79.11343578645412,76.53547096252441,73.95750613859471,6.736653714960491,0.275246083042999,0.984859106903797,75.28283996582032,75.96388626098633,76.53547096252441,,,0.004480208481284942,0.0069988053331007105,-0.005673329884643308,0.016235420418520406,0.014838719855813644,2445975.0,0.7150113962734697,1.0139267207440281,0.9955592244444442,1.009424099747423,74.10216438480259,79.66158273462713,1.0171991088842214,0.9462108709252235,1,-1
2015-02-17 00:00:00-05:00,75.42357420174349,76.04128821000863,75.12644843653868,75.23591613769531,3051300,0.0,0.0,35.86415800294773,0,0,-0.42220531410282547,-0.2700252217306065,-0.15218009237221897,0,0,79.12762950337158,76.48855705261231,73.84948460185304,6.900568012922504,0.26267401932133294,0.9836231592909332,75.20777893066406,75.83643264770508,76.48855705261231,,,-0.0018671489181578682,-0.00496361742690643,-0.016658326999640427,0.015871625446596548,0.01458560276286423,2476785.0,1.231959980377788,1.0121773329168187,0.9894087529121145,1.0014571126871397,74.10216438480259,79.66158273462713,1.015299846668517,0.9444441543212262,1,-1
2015-02-18 00:00:00-05:00,75.15772716675995,75.6268753183404,74.65730167633517,75.22027587890625,2430000,0.0,0.0,39.89411059151634,0,0,-0.431024542954745,-0.30225061756441624,-0.12877392539032878,0,0,79.14220458751629,76.45219688415527,73.76218918079425,7.03709720058685,0.2710190562447457,0.9838863884171216,75.18119049072266,75.61045989990234,76.45219688415527,,,-0.00020788287817796736,-0.0017642537783633117,-0.029165299175546888,0.015091466146448133,0.014574175478259064,2497720.0,0.9728872731931522,1.012986990156819,0.9946236118083337,1.0075407788646282,74.10216438480259,79.66158273462713,1.015088783214178,0.9442478205521475,1,-1
2015-02-19 00:00:00-05:00,75.21246465600893,75.21246465600893,74.43054904371,74.48528289794922,1731700,0.0,0.0,38.500492843122494,0,0,-0.487365636210086,-0.33929710229285137,-0.14806853391723462,0,0,79.20480935903429,76.39394454956054,73.5830797400868,7.358868104134077,0.1604849786481424,0.9750155373849941,75.07171783447265,75.40794296264649,76.39394454956054,,,-0.009771208259595654,-0.007295001697564252,-0.026469185744693702,0.014920329106362491,0.014707198077284319,2488920.0,0.6957636243832667,1.0105053049096782,0.9903316323778838,1.000735368137713,74.10216438480259,79.66158273462713,1.0051701393114125,0.9350213784488631,-1,-1
