headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
"Dow's 550-point surge led by gains for UnitedHealth, Procter & Gamble shares",04/16/2020,https://web.archive.org/web/20200416082501/https://www.marketwatch.com/investing/stock/pg,['PG'],,MarketWatch,https://web.archive.org/web/20200416082501/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
Procter & Gamble stock price target cut to $125 from $133 at J.P. Morgan,04/16/2020,https://web.archive.org/web/20200416082501/https://www.marketwatch.com/investing/stock/pg,['PG'],,MarketWatch,https://web.archive.org/web/20200416082501/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
RBC Capital Sticks to Their Hold Rating for Procter & Gamble (PG),04/16/2020,https://web.archive.org/web/20200416082501/https://www.marketwatch.com/investing/stock/pg,['PG'],,MarketWatch,https://web.archive.org/web/20200416082501/https://www.marketwatch.com/investing/stock/pg,Procter,2.8
3 Things to Know About Procter & Gamble's New Dividend,04/16/2018,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,['PG'],,Yahoo Finance,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,Procter,2.8
"Dow 30 Stock Roundup: P&G Hikes Dividend; Boeing, American Airlines Ink $12B Deal",04/16/2018,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,['PG'],,Yahoo Finance,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,P&G,2.8
P&G’s longest commercial ever? How marketing evolved corporate culture,04/16/2018,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,['PG'],,Yahoo Finance,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,P&G,2.8
Today’s Research Reports on Stocks to Watch: Newell Brands and Procter & Gamble,04/16/2018,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,['PG'],,Yahoo Finance,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,Procter,2.8
Why Most Analysts Maintain a ‘Hold’ on Procter & Gamble Stock,04/16/2018,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,['PG'],,Yahoo Finance,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,Procter,2.8
What Investors Should Know About The Procter & Gamble Company’s (NYSE:PG) Financial Strength,04/16/2018,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,['PG'],,Yahoo Finance,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,Procter,2.8
Procter & Gamble Rewards Shareholders With 4% Dividend Hike,04/16/2018,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,['PG'],,Yahoo Finance,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,Procter,2.8
"Stocks to Watch: Facebook, Sprint, CVS, JetBlue, eBay, Analogic, Carnival, P&G, Devon, Fastenal",04/16/2018,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,['PG'],,Yahoo Finance,https://web.archive.org/web/20180416234944/https://finance.yahoo.com/quote/pg,P&G,2.8
The Procter & Gamble Company declares $0.7172 dividend,04/16/2018,https://web.archive.org/web/20180416230509/https://www.thestreet.com/quote/PG.html,['PG'],,The Street,https://web.archive.org/web/20180416230509/https://www.thestreet.com/quote/PG.html,Procter,2.8
Procter & Gamble raises dividend by 1%,04/16/2016,http:///web/20160416123720/http://www.marketwatch.com/story/procter-gamble-raises-dividend-by-1-2016-04-08,['PG'],,MarketWatch,https://web.archive.org/web/20160416123720/http://www.marketwatch.com:80/investing/stock/PG,Procter,2.8
P&G Declares Dividend Increase,04/16/2016,http:///web/20160416123720/http://www.marketwatch.com/story/pg-declares-dividend-increase-2016-04-08,['PG'],,MarketWatch,https://web.archive.org/web/20160416123720/http://www.marketwatch.com:80/investing/stock/PG,P&G,2.8
"The Zacks Analyst Blog Highlights: Caterpillar, Procter & Gamble, Horizon Pharma, RadNet and PRA Health Sciences",04/16/2015,https://web.archive.org/web/20150416020841/http://www.zacks.com:80/stock/quote/PG?,['PG'],,Zacks,https://web.archive.org/web/20150416020841/http://www.zacks.com:80/stock/quote/PG?,Procter,2.8
"The Zacks Analyst Blog Highlights: Walt Disney, Goldman Sachs, Procter & Gamble, Boeing and 3M Company",04/16/2015,https://web.archive.org/web/20150416020841/http://www.zacks.com:80/stock/quote/PG?,['PG'],,Zacks,https://web.archive.org/web/20150416020841/http://www.zacks.com:80/stock/quote/PG?,Procter,2.8
Buckle Holds It Together Near Term; Deutsche Bank Upgrades,04/07/2017,https://web.archive.org/web/20170407163539/https://www.benzinga.com/news,['PG'],,Benzinga,https://web.archive.org/web/20170407163539/https://www.benzinga.com/news,PG,2.8
