headline,date,url,relevant_tickers,summary,source,wayback_url,matched_term,relevance_score
Exxon Mobil stock price target raised to $90 from $85 at RBC Capital,04/05/2018,https://web.archive.org/web/20180405072621/https://www.marketwatch.com/investing/stock/xom,['XOM'],,MarketWatch,https://web.archive.org/web/20180405072621/https://www.marketwatch.com/investing/stock/xom,Exxon,2.8
"Global Mining Chemicals Market Opportunities 2018: Cytec Industries, BASF SE, Huntsman International LLC., ExxonMobil",04/05/2018,https://web.archive.org/web/20180405072621/https://www.marketwatch.com/story/global-mining-chemicals-market-opportunities-2018-cytec-industries-basf-se-huntsman-international-llc-exxonmobil-2018-04-04,['XOM'],,MarketWatch,https://web.archive.org/web/20180405072621/https://www.marketwatch.com/investing/stock/xom,Exxon,2.8
"Pre-Market Technical Scan on Oil & Gas Equities -- BP PLC, Chevron, Encana, and Exxon Mobil",04/05/2018,https://web.archive.org/web/20180405072621/https://www.marketwatch.com/story/pre-market-technical-scan-on-oil-gas-equities----bp-plc-chevron-encana-and-exxon-mobil-2018-04-03,['XOM'],,MarketWatch,https://web.archive.org/web/20180405072621/https://www.marketwatch.com/investing/stock/xom,Exxon,2.8
"Early movers: PNRA, WBA, ACOR, XOM, CS, AMZN, MCD, AMGN & more",04/05/2017,https://web.archive.org/web/20170405211606/http://www.cnbc.com/investing/,['XOM'],,CNBC,https://web.archive.org/web/20170405211606/http://www.cnbc.com/investing/,XOM,2.8
PreMarket Prep Stock Of The Day: Exxon Mobil,04/04/2020,https://web.archive.org/web/20200404200511/http://www.benzinga.com/trading-ideas,['XOM'],,Benzinga,https://web.archive.org/web/20200404200511/http://www.benzinga.com/trading-ideas,Exxon,2.8
Buy Activision Blizzard Stock Because New Mobile Games Are Coming,04/03/2020,https://web.archive.org/web/20200403024003/https://www.marketwatch.com/markets,['XOM'],,MarketWatch,https://web.archive.org/web/20200403024003/https://www.marketwatch.com/markets,Mobil,2.8
"Dow surges nearly 450 points on gains for shares of Chevron, Exxon Mobil",04/03/2020,https://web.archive.org/web/20200403024003/https://www.marketwatch.com/markets,['XOM'],,MarketWatch,https://web.archive.org/web/20200403024003/https://www.marketwatch.com/markets,Exxon,2.8
"Dow's 150-point climb highlighted by gains in Chevron, Exxon Mobil shares",04/03/2020,https://web.archive.org/web/20200403024003/https://www.marketwatch.com/markets,['XOM'],,MarketWatch,https://web.archive.org/web/20200403024003/https://www.marketwatch.com/markets,Exxon,2.8
Exxon Mobil Stock Rises 4%,04/03/2020,https://web.archive.org/web/20200403195812/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20200403195812/https://finance.yahoo.com/quote/XOM/,Exxon,2.8
"Dow's nearly 375-point rally led by gains for Chevron, Exxon Mobil stocks",04/03/2020,https://web.archive.org/web/20200403195812/https://finance.yahoo.com/quote/XOM/,['XOM'],,Yahoo Finance,https://web.archive.org/web/20200403195812/https://finance.yahoo.com/quote/XOM/,Exxon,2.8
